"Description","Designation","TypeUnite","TypeProduit","Superficie","PrixUnitaire"
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",123,1210
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",69,800
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1650
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,880
"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",85,603.53
"Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",72,4861.11
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",113,1475
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",140,1155
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",380,2578.95
"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",80,641.25
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850
"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",140,480
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",130,1929
"Jerada-Figuig                 ","Operation de ZAE TOUISSIT               ","LOT ACTIVITÉ COMMERCIALE ","LOTS ACTIVITE COMM A USAGE INDUSTRIEL   ",557,400.72
"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",85,603.53
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",105,1155
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,880
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,1900
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2100
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",193.8,2400
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",154,2100
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA ISOLEES        ",285.1,1300
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",137,1700
"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",143,500
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",140,1155
"Berkane                       ","11541-LAYMOUNE AKLIM                    ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",115,203.48
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","10132-POLE URBAIN  AL AROUIT TR2        ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",131,1837.5
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",176,2200
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",150,2205
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.95,1400
"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",252,500
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+6 RDC COMMERCIAL   ",380,2578.95
"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",200,750
"Berkane                       ","11251-C/C LAYMOUNE                      ","CONSTRUCTION USAGE COMM. ","CONSTR LOCAUX COMMERCIAUX               ",19,7105.26
"Nador - Driouch               ","7311-AL MANAR ZAIO                      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",167,1386
"Jerada-Figuig                 ","15201-GHIZLANE TENDRARA                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",174,435
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",100,950
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",192,1312.5
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",210,1312.5
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",114,1475
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",143.7,2250
"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",80,5812.5
"Taourirt                      ","99201-ANNASR A TAOURIRT                 ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",94,450
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",150,1848
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",80,850
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",69,800
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",143.7,2250
"Jerada-Figuig                 ","81152-OMAR IBN KHATTAB A MRIJA          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",108,610
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.72,1400
"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",94,1030
"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",145,500
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",110,1265
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",150,1848
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.7,1400
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2150
"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",200,750
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",240,1375
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",112.53,2100
"Berkane                       ","RESIDENCE GREEN HOUSE R+3               ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",77,4675.32
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",143,1600
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1650
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",120,950
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",126,1210
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",96,465
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",147,2200
"Berkane                       ","11541-LAYMOUNE AKLIM                    ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",125,350
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",288,1560
"Berkane                       ","LOTISSEMENT ALIA A AKLIM                ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",116,1450
"Nador - Driouch               ","7311-AL MANAR ZAIO                      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+4 RDC COMMERCIAL   ",165,1386
"Jerada-Figuig                 ","7021-ZA ECONOMIQUE AIN BENI MATHAR      ","LOT ACTIVITÉ COMMERCIALE ","LOTS  ACTIVITE COMM A USAGE COMMERCIAL  ",156,500
"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",86,596.51
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,840
"Jerada-Figuig                 ","10521-AMAL TR1 A TENDRARA               ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",140,540
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1300
"Agence Oujda                  ","Lotissement mer Niger Oujda             ","PRODUITS TIERS           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",79,612.91
"Berkane                       ","8191-ANAS FVIT TR3                      ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",55,3050.91
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",92.16,1400
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1210
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",159,1848
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1155
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","LOT FATH EXTENSION SELOUANE             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",90,4700
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1200
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",190,2450
"Nador - Driouch               ","10133-POLE URBAIN AL AROUIT TR3 ET TR4  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",150,1848
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",156,590
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",95.72,1400
"Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",146,369.86
"Nador - Driouch               ","AL IRFANE V.ECO TR2-B                   ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT  STANDING VILLA SEMI ",291,2398.11
"Nador - Driouch               ","11191-AL IKHLAS LS SELOUANE             ","CONSTRUCTION LOGEMENT    ","CONSTR SOCIAL 250 MILLE                 ",56,5354.21
"Taourirt                      ","5113-ZUN AL YASSAMINE TR3 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",100,1210
"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,830
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS ECONOMIQUES R+1 RDC HABITAT        ",70,800
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",126,1000
"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",94,5904.26
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",105,1155
"Jerada-Figuig                 ","10522-AMAL TR2 A TENDRARA               ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",157,590
"Jerada-Figuig                 ","98021-AMAL 3 A AIN BENI MATHAR          ","PRODUITS TIERS           ","LOTS ECONOMIQUES R+2 RDC HABITAT        ",192,365.63
"Nador - Driouch               ","PU JNAN KERT DRIOUCH                    ","LOT HABITATION           ","LOTS ECONOMIQUES R+2 RDC COMMERCIAL     ",95.72,1400
"Berkane                       ","RESIDENCE FERMEE R+1 GREEN HOUSE SAIDIA ","CONSTRUCTION LOGEMENT    ","CONSTR MOYEN& HAUT STANDING APPARTEMENT ",138.6,4292.93
"Taourirt                      ","5111-ZUN AL YASSAMINE TR1 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+3 RDC COMMERCIAL   ",240,1375
"Jerada-Figuig                 ","lotissement SITIR GUENFOUDA             ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,830
"Nador - Driouch               ","7321-AL ANNOUAR ARRUIT                  ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",120,1850
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",147,1155
"Taourirt                      ","5112-ZUN AL YASSAMINE TR2 TAOURIRT      ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC COMMERCIAL   ",141,1210
"Berkane                       ","ZUN BOUGHRIBA EXTENSION                 ","LOT HABITATION           ","LOTS PROMOTIONNELS R+2 RDC HABITAT      ",100,1300
"Jerada-Figuig                 ","99501-RYAD BOUARFA                      ","LOT HABITATION           ","LOTS PROMOTIONNELS VILLA BANDE          ",200,750
